date,sample_group_id,neighborhood,bathroom_number,sample,sample_type,bathroom_type,lat_dec_degrees,long_dec_degrees,time_sampled,initials_sample,time_plated,initials_plated,notes
2022-03-02,HT-B1-t1,HT,B1,t1,t,Pit-Stop,37.768263,-122.4536636,10:30,AC,12:52,AC,top
2022-03-02,HT-B1-t2,HT,B1,t2,t,Pit-Stop,37.768263,-122.4536636,10:30,AC,12:52,AC,left
2022-03-02,HT-B1-t3,HT,B1,t3,t,Pit-Stop,37.768263,-122.4536636,10:30,AC,12:55,AC,right
2022-03-02,HT-B1-t4,HT,B1,t4,t,Pit-Stop,37.768263,-122.4536636,10:30,AC,12:55,AC,front
2022-03-02,HT-B1-f1,HT,B1,f1,f,Pit-Stop,37.768263,-122.4536636,10:30,AC,12:50,AC,under toilet
2022-03-02,HT-B1-f2,HT,B1,f2,f,Pit-Stop,37.768263,-122.4536636,10:30,AC,12:50,AC,under sink
2022-03-02,HT-B1-f3,HT,B1,f3,f,Pit-Stop,37.768263,-122.4536636,10:30,AC,12:50,AC,under mirror
2022-03-02,HT-B1-f4,HT,B1,f4,f,Pit-Stop,37.768263,-122.4536636,10:30,AC,12:50,AC,near the door
2022-03-02,HT-B1-control,HT,B1,control,control,Pit-Stop,37.768263,-122.4536636,10:30,AC,12:50,AC,air of bathroom
2022-03-02,HT-B1-s1,HT,B1,s1,s,Pit-Stop,37.768263,-122.4536636,10:27,AL,12:50,AL,
2022-03-02,HT-B1-s2,HT,B1,s2,s,Pit-Stop,37.768263,-122.4536636,10:27,AL,12:50,AL,
2022-03-02,HT-B1-s3,HT,B1,s3,s,Pit-Stop,37.768263,-122.4536636,10:27,AL,12:50,AL,
2022-03-02,HT-B1-w,HT,B1,w,w,Pit-Stop,37.768263,-122.4536636,10:27,AL,12:53,AL,
2022-03-02,HT-B1-control,HT,B1,control,control,Pit-Stop,37.768263,-122.4536636,10:27,AL,12:50,AL,
2022-03-23,MA-B1-t1,MA,B1,t1,t,Park,37.804267,-122.429833,10:44,AC,12:55,CL,
2022-03-23,MA-B1-t2,MA,B1,t2,t,Park,37.804267,-122.429833,10:44,AC,12:55,Cl,
2022-03-23,MA-B1-t3,MA,B1,t3,t,Park,37.804267,-122.429833,10:44,AC,12:55,CL,
2022-03-23,MA-B1-t4,MA,B1,t4,t,Park,37.804267,-122.429833,10:44,AC,12:55,Cl,
2022-03-23,MA-B1-f1,MA,B1,f1,f,Park,37.804267,-122.429833,10:44,AC,12:55,CL,
2022-03-23,MA-B1-f2,MA,B1,f2,f,Park,37.804267,-122.429833,10:44,AC,12:55,Cl,
2022-03-23,MA-B1-f3,MA,B1,f3,f,Park,37.804267,-122.429833,10:44,AC,12:55,CL,
2022-03-23,MA-B1-f4,MA,B1,f4,f,Park,37.804267,-122.429833,10:44,AC,12:55,Cl,"loss of liquid, not able to measure accurate alloquot amount of plate, est ~30 ul plated"
2022-03-23,MA-B1-control,MA,B1,control,control,Park,37.804267,-122.429833,10:44,AC,12:55,CL,
2022-03-23,MA-B2-t1,MA,B2,t1,t,Park,37.804267,-122.429833,10:44,AC,12:55,AC,
2022-03-23,MA-B2-t2,MA,B2,t2,t,Park,37.804267,-122.429833,10:44,AC,12:55,AC,
2022-03-23,MA-B2-t3,MA,B2,t3,t,Park,37.804267,-122.429833,10:44,AC,12:55,AC,
2022-03-23,MA-B2-t4,MA,B2,t4,t,Park,37.804267,-122.429833,10:44,AC,12:55,AC,
2022-03-23,MA-B2-f1,MA,B2,f1,f,Park,37.804267,-122.429833,10:44,AC,12:55,AC,
2022-03-23,MA-B2-f2,MA,B2,f2,f,Park,37.804267,-122.429833,10:44,AC,12:55,AC,
2022-03-23,MA-B2-f3,MA,B2,f3,f,Park,37.804267,-122.429833,10:44,AC,12:55,AC,
2022-03-23,MA-B2-f4,MA,B2,f4,f,Park,37.804267,-122.429833,10:44,AC,12:55,AC,
2022-03-23,MA-B2-control,MA,B2,control,control,Park,37.804267,-122.429833,10:44,AC,12:55,AC,
2022-03-23,MA-B1-s1,MA,B1,s1,s,Park,37.804267,-122.429833,10:46,AL,13:00,AL,
2022-03-23,MA-B1-s2,MA,B1,s2,s,Park,37.804267,-122.429833,10:46,AL,13:00,AL,
2022-03-23,MA-B1-s3,MA,B1,s3,s,Park,37.804267,-122.429833,10:46,AL,13:00,AL,
2022-03-23,MA-B1-w,MA,B1,w,w,Park,37.804267,-122.429833,10:46,AL,13:00,AL,
2022-03-23,MA-B2-s1,MA,B2,s1,s,Park,37.804267,-122.429833,10:46,AC,13:00,AC,
2022-03-23,MA-B2-s2,MA,B2,s2,s,Park,37.804267,-122.429833,10:46,AC,13:00,AC,
2022-03-23,MA-B2-s3,MA,B2,s3,s,Park,37.804267,-122.429833,10:46,AC,13:00,AC,
2022-03-23,MA-B2-w,MA,B2,w,w,Park,37.804267,-122.429833,10:46,AC,13:00,AC,
2022-03-30,OR-B1-t1,OR,B1,t1,t,Park,37.7703091,-122.5078901,10:24,AC,12:05,AC,
2022-03-30,OR-B1-t2,OR,B1,t2,t,Park,37.7703091,-122.5078901,10:24,AC,12:05,AC,
2022-03-30,OR-B1-t3,OR,B1,t3,t,Park,37.7703091,-122.5078901,10:24,AC,12:05,AC,
2022-03-30,OR-B1-t4,OR,B1,t4,t,Park,37.7703091,-122.5078901,10:24,AC,12:05,AC,
2022-03-30,OR-B1-f1,OR,B1,f1,f,Park,37.7703091,-122.5078901,10:28,AC,12:05,AC,
2022-03-30,OR-B1-f2,OR,B1,f2,f,Park,37.7703091,-122.5078901,10:28,AC,12:05,AC,
2022-03-30,OR-B1-f3,OR,B1,f3,f,Park,37.7703091,-122.5078901,10:28,AC,12:05,AC,
2022-03-30,OR-B1-f4,OR,B1,f4,f,Park,37.7703091,-122.5078901,10:28,AC,12:05,AC,
2022-03-30,OR-B1-control,OR,B1,control,c,Park,37.7703091,-122.5078901,10:28,AC,12:05,AL,
2022-03-30,OR-B2-t1,OR,B2,t1,t,Park,37.7703091,-122.5078901,10:24,AL,12:05,AC,
2022-03-30,OR-B2-t2,OR,B2,t2,t,Park,37.7703091,-122.5078901,10:24,AL,12:05,AC,
