date,mean_median_income,mean_median_population,sample_group_id,neighborhood,bathroom_number,sample,sample_type,bathroom_type,time_colony_counted,morphotype_id,morphotype_count,colony_count_per_plate,initials_count,notes
2022-03-07,246530.33,4179,HT-B1-t1,HT,B1,t1,t,Pit-Stop,10:04,"medium, white",12,12,AC,
2022-03-07,246530.33,4179,HT-B1-t2,HT,B1,t2,t,Pit-Stop,10:05,"tiny, yellow",1,5,AC,
2022-03-07,246530.33,4179,HT-B1-t2,HT,B1,t2,t,Pit-Stop,10:05,"tiny, orange",4,5,AC,
2022-03-07,246530.33,4179,HT-B1-t2,HT,B1,t2,t,Pit-Stop,10:05,"tiny, taupe",2,5,AC,
2022-03-07,246530.33,4179,HT-B1-t3,HT,B1,t3,t,Pit-Stop,10:07,"medium, white",1,1,AC,
2022-03-07,246530.33,4179,HT-B1-t4,HT,B1,t4,t,Pit-Stop,10:08,"large, white, rough-edged, veiny",1,451,AC,
2022-03-07,246530.33,4179,HT-B1-t4,HT,B1,t4,t,Pit-Stop,10:08,"large, taupe",2,451,AC,
2022-03-07,246530.33,4179,HT-B1-t4,HT,B1,t4,t,Pit-Stop,10:08,"medium, taupe",3,451,AC,
2022-03-07,246530.33,4179,HT-B1-t4,HT,B1,t4,t,Pit-Stop,10:08,"small, taupe, transparent ",10,451,AC,
2022-03-07,246530.33,4179,HT-B1-t4,HT,B1,t4,t,Pit-Stop,10:08,"small, dark yellow, transparent ",2,451,AC,
2022-03-07,246530.33,4179,HT-B1-t4,HT,B1,t4,t,Pit-Stop,10:08,"small, white",1,451,AC,
2022-03-07,246530.33,4179,HT-B1-t4,HT,B1,t4,t,Pit-Stop,10:08,"tiny, yellow",33,451,AC,
2022-03-07,246530.33,4179,HT-B1-t4,HT,B1,t4,t,Pit-Stop,10:08,"tiny, orange",35,451,AC,
2022-03-07,246530.33,4179,HT-B1-t4,HT,B1,t4,t,Pit-Stop,10:08,"tiny, taupe",364,451,AC,split count in half
2022-03-07,246530.33,4179,HT-B1-f1,HT,B1,f1,f,Pit-Stop,9:28,"small, dark orange",13,100,AC,
2022-03-07,246530.33,4179,HT-B1-f1,HT,B1,f1,f,Pit-Stop,9:28,"small, orange",61,100,AC,
2022-03-07,246530.33,4179,HT-B1-f1,HT,B1,f1,f,Pit-Stop,9:28,"medium, cream",15,100,AC,
2022-03-07,246530.33,4179,HT-B1-f1,HT,B1,f1,f,Pit-Stop,9:28,"large, orange, rough-edged",1,100,AC,
2022-03-07,246530.33,4179,HT-B1-f1,HT,B1,f1,f,Pit-Stop,9:28,"small, yellow",10,100,AC,
2022-03-07,246530.33,4179,HT-B1-f2,HT,B1,f2,f,Pit-Stop,9:44,"XL, transparent",6,72,AC,growth around the rim possibly due to plating error
2022-03-07,246530.33,4179,HT-B1-f2,HT,B1,f2,f,Pit-Stop,9:44,"small, yellow",3,72,AC,
2022-03-07,246530.33,4179,HT-B1-f2,HT,B1,f2,f,Pit-Stop,9:44,"tiny, beige",53,72,AC,
2022-03-07,246530.33,4179,HT-B1-f2,HT,B1,f2,f,Pit-Stop,9:44,"small, taupe",6,72,AC,
2022-03-07,246530.33,4179,HT-B1-f2,HT,B1,f2,f,Pit-Stop,9:44,"small, white",2,72,AC,
2022-03-07,246530.33,4179,HT-B1-f2,HT,B1,f2,f,Pit-Stop,9:44,"small, taupe, transparent ",2,72,AC,
2022-03-07,246530.33,4179,HT-B1-f3,HT,B1,f3,f,Pit-Stop,9:53,"small, white",3,73,AC,
2022-03-07,246530.33,4179,HT-B1-f3,HT,B1,f3,f,Pit-Stop,9:53,"small, taupe, transparent ",4,73,AC,
2022-03-07,246530.33,4179,HT-B1-f3,HT,B1,f3,f,Pit-Stop,9:53,"tiny, taupe, transparent ",36,73,AC,
2022-03-07,246530.33,4179,HT-B1-f3,HT,B1,f3,f,Pit-Stop,9:53,"small, dark orange",18,73,AC,
2022-03-07,246530.33,4179,HT-B1-f3,HT,B1,f3,f,Pit-Stop,9:53,"small, yellow",4,73,AC,
2022-03-07,246530.33,4179,HT-B1-f3,HT,B1,f3,f,Pit-Stop,9:53,"large, orange",1,73,AC,
2022-03-07,246530.33,4179,HT-B1-f3,HT,B1,f3,f,Pit-Stop,9:53,"medium, taupe, transparent ",5,73,AC,
2022-03-07,246530.33,4179,HT-B1-f3,HT,B1,f3,f,Pit-Stop,9:53,"large, transparent, taupe",2,73,AC,
